Tag,Name,Placeholder,Type,Contain,Description,Icon,Image
<h1>,Heading 1,Write Something,Formatting,All,Heading,heading,
<h2>,Heading 2,Write Something,Formatting,All,Heading,heading,
<h3>,Heading 3,Write Something,Formatting,All,Heading,heading,
<h4>,Heading 4,Write Something,Formatting,All,Heading,heading,
<h5>,Heading 5,Write Something,Formatting,All,Heading,heading,
<h6>,Heading 6,Write Something,Formatting,All,Heading,heading,
<p>,Paragraph,Write Something,Formatting,All,Paragraph,paragraph,
<abbr>,Abbreviation,Write Something,Formatting,All,Abbreviation or an acronym,,
<address>,Address,Write Something,Formatting,All,Contact information,,
<b>,Bold,Write Something,Formatting,All,Defines bold text,,
<bdi>,Bi-Directional Isolation,Write Something,Formatting,All,Isolates a part of text that might be formatted in a different direction from other text outside it,,
<bdo>,Bi-Directional Override,Write Something,Formatting,All,Overrides the current text direction,,
<blockquote>,Blockquote,Write Something,Formatting,All,Defines a section that is quoted from another source,,
<cite>,Citation,Write Something,Formatting,All,Defines the title of a work,,
<code>,Code,Write Something,Formatting,All,Defines a piece of computer code,,
<del>,Delete,Write Something,Formatting,All,Defines text that has been deleted from a document,,
<dfn>,Definition,Write Something,Formatting,All,Represents the defining instance of a term,,
<em>,Emphasize,Write Something,Formatting,All,Defines emphasized text,,
<i>,Italic,Write Something,Formatting,All,Defines a part of text in an alternate voice or mood,,
<ins>,Insert,Write Something,Formatting,All,Defines a text that has been inserted into a document,,
<kbd>,Keyboard,Write Something,Formatting,All,Defines keyboard input,,
<mark>,Mark,Write Something,Formatting,All,Defines marked/highlighted text,,
<pre>,Preformat,Write Something,Formatting,All,Defines preformatted text,,
<q>,Quotation,Write Something,Formatting,All,Defines a short quotation,,
<s>,Strikethrough,Write Something,Formatting,All,Defines text that is no longer correct,,
<samp>,Sample,Write Something,Formatting,All,Defines sample output from a computer program,,
<small>,Small,Write Something,Formatting,All,Defines smaller text,,
<strong>,Strong,Write Something,Formatting,All,Defines important text,,
<sub>,Subscript,Write Something,Formatting,All,Defines subscripted text,,
<sup>,Superscript,Write Something,Formatting,All,Defines superscripted text,,
<time>,Time,Write Something,Formatting,All,Defines a date/time,,
<u>,Underline,Write Something,Formatting,All,Defines text that should be stylistically different from normal text,,
<var>,Variable,Write Something,Formatting,All,Defines a variable,,
<legend>,Legend,Write Something,Forms and Input,All,Defines a caption for a <fieldset> element,,
<output>,Output,Write Something,Forms and Input,All,Defines the result of a calculation,,
<caption>,Caption,Write Something,Tables,All,Defines a table caption,,
<span>,Span,Write Something,Styles and Semantics,All,Defines a section in a document,,
